,text,prediction
36,Advanced knowledge of Excel,Advanced knowledge | knowledge_skills | Excel
37,Experience of producing reports including statistical graphs and charts,Experience | Experience_skills | producing reports including statistical graphs and charts
38,Expert communication skills with a proven ability to present to and engage senior business leaders,Expert | knowledge_skills | communication skills && a proven ability | knowledge_skills | to present to and engage senior business leaders
39,Ability to lead on projects and manage multiple stakeholders,Ability | knowledge_skills | lead on projects && Ability | knowledge_skills | manage multiple stakeholders
40,"Experience prioritising, maintaining and delivering a pipeline of competing projects","Experience | Experience_skills | prioritising , maintaining and delivering a pipeline of competing projects"
41,Ability to work well under pressure,Ability | knowledge_skills | work well under pressure
42,Previous experience working in the Real Estate sector,Previous experience | Experience_skills | working in the Real Estate sector
43,Experience working on live deals and acquisitions,Experience | Experience_skills | working on live deals and acquisitions
44,Ability to communicate with different levels of internal and external stakeholders,Ability | knowledge_skills | communicate with different levels of internal and external stakeholders
45,Ticketing systems experience (E,
46,"Experience working with difficult or sparse datasets, including evidence of aggregating key performance indicators for both tracking, measuring and reporting","Experience | Experience_skills | working with difficult or sparse datasets , including evidence of aggregating key performance indicators for both tracking , measuring and reporting"
47,Proven experience and fluency with data analysis techniques in Python & SQL preferred,Proven experience and fluency | Experience_skills | data analysis techniques && Proven experience and fluency | Experience_skills | Python && Proven experience and fluency | Experience_skills | SQL preferred
48,Exposure to sustainability and ESG datasets and reporting,Exposure | Experience_skills | sustainability && Exposure | Experience_skills | ESG datasets
49,"Previous experience with reporting and visualisation, preferably using python, and creating technical solutions for operation and data related tasks/processes","Previous experience | Experience_skills | visualisation , preferably using python && Previous experience | Experience_skills | creating technical solutions for operation and data related tasks / processes"
50,Financial industry experience preferred,
51,Proficient user of MS Excel including development of macros,Proficient user | knowledge_skills | MS Excel && Proficient user | knowledge_skills | development of macros
52,Experience with relational databases,Experience | Experience_skills | relational databases
53,Knowledge of geoscience data management software preferably HoleBase SI,Knowledge | knowledge_skills | geoscience data management software && Knowledge | knowledge_skills | HoleBase SI
54,Knowledge of coding,Knowledge | knowledge_skills | coding
55,Knowledge of AGS data format,Knowledge | knowledge_skills | AGS data format
56,Experience of SQL and reporting tools including data comparison and transformation,Experience | Experience_skills | SQL && Experience | Experience_skills | reporting tools
57,Experience of technical project delivery e,Experience | Experience_skills | technical project delivery
58,Knowledge of modern data management tools and aptitude to learn new platforms,Knowledge | knowledge_skills | modern data management tools && Knowledge | knowledge_skills | learn new platforms && aptitude | knowledge_skills | learn new platforms
59,Experience of using RDBMS and file-based data sources,Experience | Experience_skills | using RDBMS and file - based data sources
60,"Ability to communicate complex ideas clearly and concisely, verbally and in writing to individuals of all levels, including clients","Ability | knowledge_skills | communicate complex ideas clearly and concisely , verbally and in writing to individuals of all levels , including clients"
61,"Evidence of ability to work with logic-based tools, such as mapping software or programming experience","Evidence of ability | knowledge_skills | work with logic - based tools , such as mapping software or programming experience"
62,"Experience in data collation, quality assurance and other related practices in delivering evaluation reports and outcomes",Experience | Experience_areas | data collation && Experience | Experience_areas | quality assurance && Experience | Experience_areas | other related practices in delivering evaluation reports and outcomes
63,Experience delivering and managing data driven projects within a consultancy,Experience | Experience_skills | delivering and managing data driven projects within a consultancy
64,Some experience with programming – e,Some experience | Experience_skills | programming
65,"Familiarity with digital health, medicines or electronic health data",Familiarity | knowledge_skills | digital health && Familiarity | knowledge_skills | medicines && Familiarity | knowledge_skills | electronic health data
66,Experience working with the full MicroStrategy lifecycle,Experience | Experience_skills | working with the full MicroStrategy lifecycle
67,Strong background in data and report design,Strong background | Experience_skills | data && Strong background | Experience_skills | report design
68,Proficient in SQL-writing queries and store procedures,Proficient | knowledge_skills | SQL - writing queries && Proficient | knowledge_skills | store procedures
69,Experience in agile methodologies,Experience | Experience_areas | agile methodologies
70,Experience working with large data sets,Experience | Experience_skills | working with large data sets
71," Good knowledge of Data Analytics, using SQL in particular",Good knowledge | knowledge_skills | Data Analytics && Good knowledge | knowledge_skills | using SQL in particular
72, Understanding Recruitment is acting as an employment agency for this vacancy,Understanding | knowledge_skills | Recruitment
73, Knowledge Services enables our professionals to leverage the full breadth of Deloitte’s global capabilities in service to our clients,Knowledge | knowledge_skills | leverage the full breadth of Deloitte ’ s global capabilities in service to our clients
74, Ability to work across cultures in a virtual environment,Ability | knowledge_skills | work across cultures in a virtual environment
75, Ability to act with a sense of urgency and deliver under tight deadlines,Ability | knowledge_skills | act with a sense of urgency && Ability | knowledge_skills | deliver under tight deadlines
76," Experience with electronic knowledge repositories, publishing and/or content management practices, intranets/portals, collaborative tools are all assets to this position",Experience | Experience_skills | electronic knowledge repositories && Experience | Experience_skills | intranets / portals && Experience | Experience_skills | collaborative tools && Experience | Experience_areas | publishing and / or content management practices
77, Experience working in a global professional services organization,Experience | Experience_skills | working in a global professional services organization
78,Ability to articulate appropriately in writing is crucial as is the ability to clearly document a process,Ability | knowledge_skills | articulate appropriately in writing is crucial && the ability | knowledge_skills | clearly document a process
79,Ability to break down requirements into components and then assess these,Ability | knowledge_skills | break down requirements into components and then assess these
80,Experience of working in IT and operational environments,Experience | Experience_skills | working in IT and operational environments
81,Expert knowledge of existing data collection processes and technologies,Expert knowledge | knowledge_skills | existing data collection processes and technologies
82,Understanding of the various legal frameworks under which the Bank collects data as well as any wider issues that may affect a collection such as legal and commercial constraints imposed on the usage and protection of data being collected,Understanding | knowledge_skills | any wider issues that may affect a collection && Understanding | knowledge_skills | legal and commercial constraints imposed on the usage and protection of data being collected && Understanding | knowledge_areas | the various legal frameworks under which the Bank collects data
83,"Experience of the varying impacts of a collection on the various stake holders involved in the provision of data to the Bank, namely the data consumer, the data provider, software houses that service the data providers and third party system providers to the Bank","Experience | Experience_skills | the varying impacts of a collection on the various stake holders involved in the provision of data to the Bank , namely the data consumer , the data provider , software houses that service the data providers and third party system providers to the Bank"
84, Proficiency in SQL is a must,Proficiency | knowledge_skills | SQL
85, Basic knowledge of reporting software (ideally Tableau) required,Basic knowledge | knowledge_skills | reporting software ( ideally Tableau )
86,Ability to think strategically using broad suite of data in an integrated way,Ability | knowledge_skills | think strategically using broad suite of data in an integrated way
87,Ability to explore user needs and make recommendations on data collection and interpretation to support evidence led decision making,Ability | knowledge_skills | explore user needs && Ability | knowledge_skills | make recommendations on data collection and interpretation to support evidence led decision making
88,Ability to present data using different approaches best suited to the audience,Ability | knowledge_skills | present data using different approaches best suited to the audience
89," Good knowledge of Word, Excel, PowerPoint and be proficient in using internet research tools",Good knowledge | knowledge_skills | Word && Good knowledge | knowledge_skills | Excel && Good knowledge | knowledge_skills | PowerPoint && be proficient | knowledge_skills | using internet research tools
90, Ability to undertake detailed financial/commercial analysis for inclusion in expert reports,Ability | knowledge_skills | undertake detailed financial / commercial analysis for inclusion in expert reports
91,"Passionate about patient care, with the ability to communicate effectively with patients, visitors and healthcare staff","Passionate | knowledge_skills | patient care && the ability | knowledge_skills | communicate effectively with patients , visitors and healthcare staff"
92,"Evaluate process efficiency relative to service metrics, providing performance insights and opportunities based on data analysis and modelling",Evaluate | knowledge_skills | process efficiency relative to service metrics && Evaluate | knowledge_skills | providing
93,Proven experience with SQL solutions and link datasets,Proven experience | Experience_skills | SQL solutions && Proven experience | Experience_skills | link datasets
94,Ability to synthesise and explain data and storyboard with clarity and simplicity,Ability | knowledge_skills | synthesise and explain data && Ability | knowledge_skills | storyboard with clarity and simplicity
95,Ability to test / challenge current thinking and establish supporting insights for change options,Ability | knowledge_skills | test / challenge current thinking && Ability | knowledge_skills | establish supporting insights for change options
96,Experience and Skills Required,Experience | Experience_skills | Skills Required
97,3 years of experience preferably working as a Data Analyst in a fast-paced and dynamic business setting,3 years of experience | Experience_skills | working as a Data Analyst in a fast - paced and dynamic business setting
98,Ability to collaborate with people across the company,Ability | knowledge_skills | collaborate with people across the company
99,Knowledge of statistics and experience using statistical packages for analyzing datasets,Knowledge | knowledge_areas | statistics && experience | Experience_skills | using statistical packages for analyzing datasets
100,Developer background with AWS knowledge,Dev | knowledge_skills | AWS knowledge && Developer background | Experience_skills | AWS knowledge
101,Experience with in-product reporting for SaaS products,Experience | Experience_skills | in - product reporting for SaaS products
102, Review profitability of major existing customers,Review profit | knowledge_skills | major existing customers
103," A desire to learn new data skills and quickly familiarise themselves with the business, processes and data sources","A desire | knowledge_skills | learn new data skills && A desire | knowledge_skills | quickly familiarise themselves with the business , processes and data sources"
104, An ability to present findings simply and clearly,An ability | knowledge_skills | present findings simply and clearly
105, An ability to complete work efficiently and to agreed timescales,An ability | knowledge_skills | complete work efficiently && An ability | knowledge_skills | agreed timescales
106,Understanding importance of end-user centricity,Understanding | knowledge_skills | importance of end - user centricity
107,Understanding others,Understanding | knowledge_skills | others
108,Developing capability,
109, Demonstrate good product knowledge to customers on key promotions and offers,Demonstrate | knowledge_skills | good product knowledge to customers on key promotions and offers
110, Approaching customers that may require assistance if you are on the shop floor,
111,Confident approach towards maximising sales opportunities,Confident approach | knowledge_skills | maximising sales opportunities
112,Thorough knowledge of HR/Payroll processes,Thorough knowledge | knowledge_skills | HR / Payroll processes
113,Payroll systems knowledge of SAP or ADP,Payroll systems knowledge | knowledge_skills | SAP && Payroll systems knowledge | knowledge_skills | ADP
114, Ability to produce and maintain production ready code,Ability | knowledge_skills | produce and maintain production ready code
115,A passion and ability to learn new software and technologies quickly,passion | knowledge_skills | learn new software and technologies quickly && ability | knowledge_skills | learn new software and technologies quickly
116,Good working knowledge of email systems and Microsoft Office software,Good working knowledge | knowledge_skills | email systems && Good working knowledge | knowledge_skills | Microsoft Office software
117,Ability to work well in a team environment,Ability | knowledge_skills | work well in a team environment
118," Experience using excel is essential, whilst knowledge of PowerBI or other data presentation and analysis software is desirable",knowledge | knowledge_skills | PowerBI && knowledge | knowledge_skills | other data presentation and analysis software && Experience | Experience_skills | excel
119, Experience and Skills,Experience | Experience_skills | Skills
120,Ability to undertake specific training to meet business requirements and work to agreed deadlines,Ability | knowledge_skills | undertake specific training to meet business requirements && Ability | knowledge_skills | work to agreed deadlines
121,"Degree or equivalent qualification or experience demonstrating that level of applied knowledge in data management, analysis and report writing","experience | Experience_skills | demonstrating that level of applied knowledge in data management , analysis and report writing"
122, Knowledge and understanding of the theory and principles of data management and analysis,Knowledge | knowledge_areas | the theory and principles of data management and analysis && understanding | knowledge_areas | the theory and principles of data management and analysis
123,Experience of collating and interpreting complex information,Experience | Experience_skills | collating && Experience | Experience_skills | interpreting complex information
124,Experience of undertaking complex statistical analysis and detailing findings to a wide range of audiences,Experience | Experience_skills | undertaking complex statistical analysis && Experience | Experience_skills | detailing findings to a wide range of audiences
125,Experience and confidence in dealing with people and the ability to establish credibility at all levels of the organisation,confidence | knowledge_skills | dealing with people && the ability | knowledge_skills | establish credibility at all levels of the organisation && Experience | Experience_skills | dealing with people
126,"Knowledge of specific management systems, specific databases or data analysis programmes (e",Knowledge | knowledge_skills | specific management systems && Knowledge | knowledge_skills | specific databases && Knowledge | knowledge_skills | data analysis programmes
127,Good working knowledge of services for children and young people - Desirable,Good working knowledge | knowledge_skills | services for children and young people
128,Someone with ability to learn and adapt,ability | knowledge_skills | learn && ability | knowledge_skills | adapt
129,Bachelor's degree required,
130,Ability to analyze and resolve project-related issues and follow through with set objectives,Ability | knowledge_skills | analyze and resolve project - related issues && Ability | knowledge_skills | follow through with set objectives
131,"Ability to deal with different stakeholder groups to elicit business requirements, procedures, and processes","Ability | knowledge_skills | deal with different stakeholder groups to elicit business requirements , procedures , and processes"
132,"Ability to work in a high-paced environment, be flexible, follow tight deadlines, organize, and prioritize work","Ability | knowledge_skills | work in a high - paced environment && Ability | knowledge_skills | be flexible && Ability | knowledge_skills | follow tight deadlines && Ability | knowledge_skills | organize , and prioritize work"
133,"Proficient with MS Office (Word, Excel, PowerPoint)","Proficient | knowledge_skills | MS Office ( Word , Excel , PowerPoint )"
134,Proficient with SQL,Proficient | knowledge_skills | SQL
135,Familiar with multiple techniques to analyse raw data and turn it into business insights,Familiar | knowledge_skills | multiple techniques to analyse raw data and turn it into business insights
136,Ability to be flexible and adapt to urgent business requirements,Ability | knowledge_skills | be flexible && Ability | knowledge_skills | adapt to urgent business requirements
137,Experience in owning relationships with external companies,Experience | Experience_skills | owning relationships with external companies
138,Experience with Power BI,Experience | Experience_skills | Power BI
139,Our ability to deliver brilliant personalised experiences for all our 30m customers is fundamental to our future success,ability | knowledge_skills | deliver brilliant personalised experiences for all our 30m customers is fundamental to our future success
140,Solid understanding of the application of analytics to customer behaviour,Solid understanding | knowledge_skills | the application of analytics to customer behaviour
141,Experience building Visualisation tools Qlik desirable,Experience | Experience_skills | building Visualisation tools Qlik desirable
142,Good commercial acumen understanding business drivers surrounding customer base,understanding | knowledge_skills | business drivers surrounding customer base
143," The focus of this role is to assist with the delivery of a high standard Sample Management service to our Drug Development Solutions department, in particular, with the import of identifying sample information to into our LIMS system","The | knowledge_skills | this && The | knowledge_skills | assist with the delivery of a high standard Sample Management service to our Drug Development Solutions department , in particular , with the import of identifying sample information to into our LIMS system"
144,Having good knowledge of Watson LIMS and processes required for sample handling including report generation,Having good knowledge | knowledge_skills | Watson LIMS && Having good knowledge | knowledge_skills | processes required for sample handling including report generation
145,Maintaining good knowledge of Microsoft Excel function,Maintaining good knowledge | knowledge_skills | Microsoft Excel function
146,Focus on quality with an ability to perform tasks in a meticulous manner with close attention to detail,an ability | knowledge_skills | perform tasks in a meticulous manner with close attention to detail
147,Previous experience using Excel is essential,Previous experience | Experience_skills | Excel
148,Experience in a GXP accredited laboratory is advantageous,Experience | Experience_skills | a GXP accredited laboratory
149, Experience in delivering or supporting projects and programmes in the consumer industries space,Experience | Experience_skills | delivering or supporting projects and programmes in the consumer industries space
150," Experience of the organisational models, processes and technologies used to execute buying, merchandising & fulfilment processes",Experience | Experience_skills | the organisational models
151, Experience in project management,Experience | Experience_skills | project management
152," Experience in conducting data intensive analysis and visualisation, distilling key insights",Experience | Experience_skills | conducting data intensive analysis and visualisation
153, Have the ability to think creatively to solve client issues,ability | knowledge_skills | think creatively to solve client issues
154," An understanding of risk, how to mitigate risk and protect the firm's reputation",An understanding | knowledge_areas | how to mitigate risk and protect the firm ' s reputation
155, Understanding of and compliance with all company policies and procedures,Understanding | knowledge_areas | all company policies and procedures && compliance | knowledge_areas | all company policies and procedures
156, Previous experience in a similar role an advantage,Previous experience | Experience_skills | a similar role
157," Demonstrable knowledge and application of stock control including counts, stock rotation, discrepancy investigation, and audit procedures",Demonstrable knowledge | knowledge_skills | stock control && Demonstrable knowledge | knowledge_skills | counts && Demonstrable knowledge | knowledge_skills | stock rotation && Demonstrable knowledge | knowledge_skills | discrepancy investigation && Demonstrable knowledge | knowledge_skills | audit procedures && application | Experience_skills | stock control && application | Experience_skills | counts && application | Experience_skills | stock rotation && application | Experience_skills | discrepancy investigation && application | Experience_skills | audit procedures
158, Experience of a customer facing role,Experience | Experience_skills | a customer facing role
159, Experience within the medical industry an advantage,Experience | Experience_areas | the medical industry
160," Experience working in a wine led restaurant or bar, not necessarily natural wine as training is provided","Experience | Experience_skills | working in a wine led restaurant or bar , not necessarily natural wine as training is provided"
161,Understanding the importance of stakeholder and change management and incorporating it into the implementation of Process Bionics strategies,Understanding | knowledge_skills | importance of stakeholder && Understanding | knowledge_skills | change management && Understanding | knowledge_skills | incorporating it into the implementation of Process Bionics strategies
162,Knowledge of new data analysis technologies (e,Knowledge | knowledge_skills | new data analysis technologies
163,"Strong understanding of the Process Mining Framework and experience using either Celonis, Signavio, UiPath Process Mining or any other Process Mining tool","Strong understanding | knowledge_areas | the Process Mining Framework && experience | Experience_skills | using either Celonis , Signavio , UiPath Process Mining or any other Process Mining tool"
164,"Knowledge of ERP systems (SAP R/3, SAP S/4, SAP HANA, Oracle, PeopleSoft) is an advantage","Knowledge | knowledge_skills | ERP systems ( SAP R / 3 , SAP S / 4 , SAP HANA , Oracle , PeopleSoft )"
165,Experience working with Amazon Web Services required,Experience | Experience_skills | working with Amazon Web Services required
166,Scor Reference Model knowledge preferred,
167,A proven track record of successfully managing technology teams,A proven track record | Experience_skills | successfully managing technology teams
168, No experience is required as full training can be provided,
169,Bachelor’s degree from an accredited university or college in computer science,Bachelor ’ s degree | degree_in | an accredited university && Bachelor ’ s degree | degree_in | college in && Bachelor ’ s degree | degree_in | computer science
170,Work experience as a data analyst or in a related field,Work experience | Experience_skills | a data analyst && Work experience | Experience_skills | a related field
171,Ability to work with stakeholders to understand current data-set and assess potential risks,Ability | knowledge_skills | work with stakeholders to understand current data - set and assess potential risks
172,Ability to analyse existing tools and databases and provide software solution recommendations,Ability | knowledge_skills | analyse existing tools and databases && Ability | knowledge_skills | provide software solution recommendations
173,"Ability to translate business requirements into non-technical, lay terms","Ability | knowledge_skills | translate business requirements into non - technical , lay terms"
174,Demonstrated experience in handling large data sets and relational databases,Demonstrated experience | Experience_skills | handling large data sets and relational databases
175,Understanding of addressing and metadata standards,Understanding | knowledge_skills | addressing and metadata standards
176, Prior experience as a Business Analyst within multi-disciplinary Agile development teams,Prior experience | Experience_skills | a Business Analyst within multi - disciplinary Agile development teams
177," Experience as a technical business analyst familiar with monolithic, layered and microservice architectures and designing, documenting and delivering integration projects including designing systems and APIs","Experience | Experience_skills | a technical business analyst familiar with monolithic , layered and microservice architectures && Experience | Experience_skills | designing && Experience | Experience_skills | documenting && Experience | Experience_skills | delivering integration projects including designing systems and APIs"
178, Experience on large scale complex IT Transformation programmes,Experience | Experience_skills | large scale complex IT Transformation programmes
179, Ability to articulate thoughts and ideas in a clear and composed manner to instil confidence in team and clients,Ability | knowledge_skills | articulate thoughts and ideas in a clear and composed manner to instil confidence in team and clients
180, Experience translating user needs into user stories and acceptance criteria,Experience | Experience_skills | translating user needs into user stories and acceptance criteria
181, Knowledge of the full Software development lifecycle,Knowledge | knowledge_skills | the full Software development lifecycle
182," Understanding of emerging and innovative technologies, and how to shape strategy and delivery in order to leverage those technologies",Understanding | knowledge_skills | emerging and innovative technologies && Understanding | knowledge_areas | how to shape strategy and delivery in order to leverage those technologies
183, Project Management experience in delivering large scale complex IT Transformation programmes,Project Management experience | Experience_skills | delivering large scale complex IT Transformation programmes
184," Experience working in and leading team activities within Agile frameworks; Scrum, Kanban etc","Experience | Experience_skills | working in and leading team activities within Agile frameworks ; Scrum , Kanban etc"
185,Experience working with and creating data architectures,Experience | Experience_skills | working with and creating data architectures
186,"Experience using statistical computer languages SQL (expert level), Python etc","Experience | Experience_skills | using statistical computer languages SQL ( expert level ) , Python etc"
187,"Knowledge of process improvement methodologies preferred, such as Six Sigma, Lean Process Management etc",Knowledge | knowledge_areas | process improvement methodologies && Knowledge | knowledge_areas | Six Sigma && Knowledge | knowledge_areas | Lean Process Management
188,"Knowledge of a variety of machine learning techniques (clustering, artificial neural networks, etc","Knowledge | knowledge_skills | a variety of machine learning techniques ( clustering , artificial neural networks , etc"
189,Experience in Data Visualisation and Power Bi reporting is essential,Experience | Experience_skills | Data Visualisation && Experience | Experience_skills | Power Bi reporting
190,Proven track record of delivery using formal analytics tools and techniques,Proven track record | Experience_skills | delivery using formal analytics tools and techniques
191,Experience with Power Apps is highly desirable,Experience | Experience_skills | Power Apps
192,"Expertise in Data Wrangling, Data Storytelling, Machine learning and Data Mining",Expertise | knowledge_skills | Data Wrangling && Expertise | knowledge_skills | Data Storytelling && Expertise | knowledge_skills | Machine learning && Expertise | knowledge_skills | Data Mining
193,Experience of communicating complex data to analytical and non-analytical audiences,Experience | Experience_skills | communicating complex data to analytical and non - analytical audiences
194,Experience in or desire to learn data modelling,desire | knowledge_skills | learn data modelling && Experience | Experience_skills | learn data modelling
195,Understanding of the complex airport operation with an appreciation for its interdependencies,Understanding | knowledge_skills | the complex airport operation && an appreciation | knowledge_skills | its interdependencies
196, A passion for mentorship; supporting the development of our product inside the company in the understanding of data,A passion | knowledge_skills | mentorship && A passion | knowledge_skills | supporting the development of our product inside the company in the understanding of data
197," Strong familiarity with data management software tools, methodologies, and best practices",Strong familiarity | knowledge_skills | data management software tools && Strong familiarity | knowledge_areas | methodologies && Strong familiarity | knowledge_areas | best practices
198," Demonstrated ability to conceptualize, manage, and prioritize data from multiple products","Demonstrated ability | knowledge_skills | conceptualize , manage , and prioritize data from multiple products"
199," The desire for autonomy, exhibiting a high degree of ownership and accountability",The desire | knowledge_skills | autonomy && The desire | knowledge_skills | exhibiting a high degree of ownership and accountability
200, Experience in SAAS solutions for talent management is preferred,Experience | Experience_skills | SAAS solutions for talent management
201, Ability to covert technical subjects and jargon into easily understood text,Ability | knowledge_skills | covert technical subjects and jargon into easily understood text
202,Ability to maintain composure and customer focus while troubleshooting and solving technical issues,Ability | knowledge_skills | maintain composure and customer focus while troubleshooting and solving technical issues
203,Ability to adhere to a schedule of customer appointments,Ability | knowledge_skills | adhere to a schedule of customer appointments
204, Understanding of data visualisation principles,Understanding | knowledge_areas | data visualisation principles
205, An ability to work effectively within the team as well as being able to work on own initiative,An ability | knowledge_skills | work effectively within the team && being able | knowledge_skills | work on own initiative
206, Experience of working in a professional services organisation is preferred but not essential,Experience | Experience_skills | working in a professional services organisation
207, Previous experience working as a data analyst in a corporate function,Previous experience | Experience_skills | working as a data analyst in a corporate function
208, Knowledge and/or certifications demonstrating capability working with data models and reporting packages (ideally Power BI),Knowledge | knowledge_skills | demonstrating capability working with data models and reporting packages ( ideally Power BI ) && certifications | knowledge_skills | demonstrating capability working with data models and reporting packages ( ideally Power BI )
209, Ability to analyse large datasets,Ability | knowledge_skills | analyse large datasets
210, Ability to design and develop comprehensive reports,Ability | knowledge_skills | design and develop comprehensive reports
211, Demonstrable experience of success within a range of complex project environments and sectors,Demonstrable experience | knowledge_skills | success within a range of complex project environments and sectors
212, Proven ability to integrate well into a team and build relationships with senior stakeholders,Proven ability | knowledge_skills | integrate well into a team && Proven ability | knowledge_skills | build relationships with senior stakeholders
213, Proven experience as a Business Analyst,Proven experience | Experience_skills | a Business Analyst
214, Strong experience with Tableau,Strong experience | Experience_skills | Tableau
215,"1-3 years of experience in data analytics, pricing or data engineering",1 - 3 years of experience | Experience_skills | data analytics && 1 - 3 years of experience | Experience_skills | pricing && 1 - 3 years of experience | Experience_skills | data engineering
216,Experience of SQL,Experience | Experience_skills | SQL
217,"Experience of Predictive Modelling techniques, Data Science and Statistics",Experience | Experience_skills | Predictive Modelling techniques && Experience | Experience_areas | Data Science && Experience | Experience_areas | Statistics
218,Excellent technical knowledge of analytical and statistical techniques,Excellent technical knowledge | knowledge_skills | analytical && Excellent technical knowledge | knowledge_skills | statistical techniques
